Flight,Descent Time,Descent Fuel Burn,Flight Time,Fuel Cons.,Fuel Burn,Headwind,Tailwind,Crosswind,N1,Remaining
1,20,8700,81,30500,22592,0.0,8.0,7.0,91.0,8.0
2,43,10834,110,30700,16745,0.0,0.0,0.0,87.0,10.1
3,18,1667,82,26500,18488,,,,89.0,0.0
4,22,7364,82,26800,18697,,,,90.0,25.3
5,23,7565,71,20500,17324,,,,88.0,23.0
6,22,9545,98,38700,23693,,,,92.0,27.0
7,18,7000,85,28900,20400,,,,91.0,25.1
8,23,9130,90,28400,18933,,,,90.0,22.1
9,26,9231,90,33200,22133,,,,92.0,26.3
10,38,14211,71,23100,19521,0.98,0.0,6.02,90.0,20.2
11,23,8348,65,21800,20123,2.1,0.0,4.9,91.0,21.9
12,23,9652,181,66100,21911,7.3,0.0,0.696,90.0,34.6
13,18,5667,70,20200,17314,8.25,0.0,2.75,87.0,25.7
14,19,9789,113,41500,22035,11.88,0.0,6.12,89.0,31.0
15,30,9800,106,33500,18962,0.0,0.54,8.46,88.0,19.2
16,34,11824,119,34600,17445,0.0,16.5,8.5,87.0,9.4
17,29,10966,118,40400,20542,0.0,1.98,1.02,89.0,18.7
18,24,9500,87,26600,18345,0.8,0.0,7.2,87.0,19.8
19,22,9273,86,31900,22255,0.0,0.11,10.89,92.0,23.4
20,21,8571,94,29500,18830,2.0,0.0,6.0,89.0,23.8
21,22,6818,139,57900,24992,4.2,0.0,9.8,95.0,23.6
22,23,8348,76,25700,20289,0.0,4.62,2.38,90.0,18.3
23,24,9000,90,32500,21667,5.5,0.0,5.5,95.0,19.9
24,19,9158,89,30700,20696,0.0,9.13,1.87,91.0,16.8
25,19,8842,47,15700,20042,0.0,1.08,25.9,94.0,21.8
26,17,5647,48,15600,19500,3.78,0.0,23.22,94.0,23.2
28,22,6273,64,22800,21375,0.0,0.0,0.0,94.0,23.9
29,21,7429,144,56000,23333,9.13,0.0,0.87,94.0,17.4
31,24,8000,96,35800,22375,4.2,0.0,9.8,92.0,25.5
32,29,11586,124,50700,24532,0.0,0.8,7.2,94.0,20.5
33,22,6000,90,31100,20733,0.0,11.02,7.98,90.0,27.7
35,27,7555,95,33400,21095,33.2,0.0,6.8,90.0,31.8
36,22,7636,89,31800,21438,0.95,0.0,4.05,91.0,25.6
37,23,6783,81,28800,21333,1.08,0.0,16.92,92.0,26.5
38,36,11833,92,32400,21130,0.0,20.999,2.001,92.0,23.9
39,25,6240,98,31800,19469,0.0,0.0,0.0,90.0,25.5
40,21,8571,81,30600,22667,0.42,0.0,6.58,92.0,24.5
41,20,5700,89,32100,21640,0.0,18.48,9.52,92.0,26.5
